CODE;VERSION;STATUS_CODE;ORIG_SALES_CHANNEL_CODE;CURR_SALES_CHANNEL_CODE;TRAVEL_AGENT_CODE;TRAVEL_AGENT_NAME;AGENT_CONTACT;LOYALTY_MEMBER_STATED;OFFER_CODE;DATE_CREATED;date;FIRST_EVENT;LAST_EVENT;CURRENCY_CODE;TOTAL_PRICE;SUB_SALES_CHANNEL_CODE;OLP_ID;PAYMENT_METHOD_CODE;PAYMENT_DATE;PAYMENT_DESCRIPTION;OUT_ROUTE_CODE;OUT_FERRY_CODE;OUT_PRODUCT_CODE;OUT_DEPARTURE_DATE;dptdate;daysahead;OUT_DEPARTURE_TIME;OUT_NO_OF_INFANT;OUT_NO_OF_ADULT;OUT_NO_OF_STUDENT;OUT_NO_OF_SENIOR;OUT_NO_OF_CHILD;OUT_VEHICLE_CATEGORY;OUT_VEHICLE_CATEGORY_DESC;OUT_CABIN_CODE;OUT_CABIN_DESCRIPTION;OUT_CABIN_NO_RESERVED;OUT_ROOM_CATEGORY_CODE;OUT_ROOM_CODE;OUT_ROOM_DESCRIPTION;HOME_ROUTE_CODE;HOME_FERRY_CODE;HOME_PRODUCT_CODE;HOME_DEPARTURE_DATE;returndate;cleandate;HOME_DEPARTURE_TIME;HOME_NO_OF_INFANT;HOME_NO_OF_ADULT;HOME_NO_OF_STUDENT;HOME_NO_OF_SENIOR;HOME_NO_OF_CHILD;HOME_VEHICLE_CATEGORY;HOME_VEHICLE_CATEGORY_DESC;HOME_CABIN_CODE;HOME_CABIN_DESCRIPTION;HOME_CABIN_NO_RESERVED;HOME_ROOM_CATEGORY_CODE;HOME_ROOM_CODE;HOME_ROOM_DESCRIPTION;CUSTOMER_ID;POSTCODE;TOWN;COUNTRY_CODE;HAS_STORED_PROFILE;LOYALTY_TYPE;LOYALTY_JOINED_DATE
70001049;2;CONFIRMED;CCD;CCD;;;;0;;2014-10-13 20:02:59.000;2014-10-13;2014-10-18 00:00:00.000;2014-10-18 11:35:00.000;SEK;0.00;;;;;;FRGO;JUTL;INSAGA;2014-10-18 00:00:00.000;2014-10-18;5;800;;1;;;;;;;;;;;;;;;;;noReturnTrip;;;;;;;;;;;;;;;30899;;;NOR;0;;
70001102;1;CANCELLED;CCD;CCD;;;;0;;2015-06-02 10:50:08.000;2015-06-02;2015-07-11 00:00:00.000;2015-07-14 15:15:00.000;SEK;3178.00;;;;;;GOFR;DANI;ECONOMY;2015-07-11 00:00:00.000;2015-07-11;39;800;;2;;;;CAR600200;Car, MPV, 4x4 up to 1.8m high;;;;;;;FRGO;DANI;ECONOMY;2015-07-14 00:00:00.000;2015-07-14;3;1150;;2;;;;CAR600200;Car, MPV, 4x4 up to 1.8m high;;;;;;;78584;41718;huiu;SWE;0;;
70001110;2;CONFIRMED;PIB;PIB;;;;1;CITYGROSS;2014-06-08 20:52:05.000;2014-06-08;2014-07-07 00:00:00.000;2014-07-07 11:15:00.000;SEK;1718.30;;;IB;2014-06-08 21:02:37.160;IB INTERNET BANK PAYMENT;GOFR;DANI;ECONOMY;2014-07-07 00:00:00.000;2014-07-07;29;800;;2;;;2;CAR600200;Car, MPV, 4x4 up to 1.8m high;;;;RESTAURANT;DA06MET2;Restaurant Metropolitan, 09.45;;;;;;noReturnTrip;;;;;;;;;;;;;;;195278;42669;VÄSTRA FRÖLUNDA;SWE;1;STSWB;2010-07-29 00:00:00.000
70001130;1;CONFIRMED;PIB;PIB;;;;0;;2014-08-19 11:42:56.000;2014-08-19;2014-08-20 00:00:00.000;2014-08-20 17:15:00.000;SEK;1168.00;;;CC;2014-08-19 11:44:41.783;CC Credit Card in Call Centre;TBSA;SASS;ECONOMY;2014-08-20 00:00:00.000;2014-08-20;1;1300;;6;;;;CAR600200;Car, MPV, 4x4 up to 1.8m high;;;;;;;;;;;;noReturnTrip;;;;;;;;;;;;;;;64174;263 34;höganäs;SWE;0;;
70001150;2;CONFIRMED;CCD;CCD;;;;0;;2015-07-18 15:18:19.000;2015-07-18;2015-07-19 00:00:00.000;2015-07-19 19:30:00.000;SEK;1038.00;;;CC;2015-07-18 15:22:28.177;CC Credit Card in Call Centre;KAGD;SPIR;ECONOMY;2015-07-19 00:00:00.000;2015-07-19;1;900;;;;;2;;;;;;RESTAURANT;PL51CARTE2;Restaurant Metropolitan, A la carte, 17.00-19.00;;;;;;noReturnTrip;;;;;;;;;;;;;;;90849;;;SWE;1;;
70001180;1;CONFIRMED;PIB;PIB;;;;0;;2014-07-30 20:36:58.000;2014-07-30;2014-07-31 00:00:00.000;2014-08-03 03:30:00.000;SEK;476.00;;;IB;2014-07-30 20:39:24.550;IB INTERNET BANK PAYMENT;TBSA;TREL;FLEXI;2014-07-31 00:00:00.000;2014-07-31;1;745;;2;;;;BIC;Bicycle;;;;;;;SATB;SASS;ECONOMY;2014-08-02 00:00:00.000;2014-08-02;2;2315;;2;;;;BIC;Bicycle;;;;;;;222612;231 36;Trelleborg;SWE;1;;
70001193;1;CONFIRMED;PIB;PIB;;;;0;;2014-06-16 00:49:29.000;2014-06-16;2014-06-22 00:00:00.000;2014-06-22 19:30:00.000;SEK;1688.00;;;IB;2014-06-16 00:54:11.330;IB INTERNET BANK PAYMENT;KAGD;SPIR;ECONOMY;2014-06-22 00:00:00.000;2014-06-22;6;900;;1;;;1;CAR600200;Car, MPV, 4x4 up to 1.8m high;COM1NX;Comfort Class, single cabin with 1 extra bed, inside;1;;;;;;;;;noReturnTrip;;;;;;;;;;;;;;;78621;13342;Saltsjöbaden;SWE;0;;
70001228;1;CONFIRMED;PIB;PIB;;;;0;;2015-06-01 14:37:39.000;2015-06-01;2015-06-01 00:00:00.000;2015-06-02 07:30:00.000;SEK;3465.00;;;IB;2015-06-01 14:44:44.507;IB INTERNET BANK PAYMENT;KAGD;SPIR;ECONOMY;2015-06-01 00:00:00.000;2015-06-01;0;1930;;2;;;;CAR600200;Car, MPV, 4x4 up to 1.8m high;COM2V;Comfort Class, 2-beds cabin with seaview;1;RESTAURANT;PL22TAST1;Restaurant Taste, 19.00-20.30;;;;;;noReturnTrip;;;;;;;;;;;;;;;90849;;;SWE;1;;
70001231;1;CONFIRMED;PIB;PIB;;;;0;;2015-03-03 15:35:48.000;2015-03-03;2015-04-06 00:00:00.000;2015-04-06 11:15:00.000;SEK;759.00;;;CC;2015-03-03 15:37:50.070;CC Credit Card in Call Centre;GOFR;JUTL;ECONOMY;2015-04-06 00:00:00.000;2015-04-06;34;800;;2;;;;CAR600200;Car, MPV, 4x4 up to 1.8m high;;;;;;;;;;;;noReturnTrip;;;;;;;;;;;;;;;129528;41128;Göteborg;SWE;1;;
70001255;1;CONFIRMED;PIB;PIB;;;;0;;2014-12-17 16:38:03.000;2014-12-17;2014-12-21 00:00:00.000;2014-12-29 09:15:00.000;SEK;6646.00;;;CC;2014-12-17 16:44:53.480;CC Credit Card in Call Centre;GOKI;SCAN;FLEXI;2014-12-21 00:00:00.000;2014-12-21;4;1845;;2;;;;CAR600200;Car, MPV, 4x4 up to 1.8m high;2O;2-berth outside cabin;1;;;;KIGO;SCAN;FLEXI;2014-12-28 00:00:00.000;2014-12-28;7;1845;;2;;;;CAR600200;Car, MPV, 4x4 up to 1.8m high;2O;2-berth outside cabin;1;;;;120733;22120;Mariehamn/ Åland;FIN;0;;
70001290;1;CONFIRMED;PIB;PIB;;;;0;;2015-01-28 19:10:00.000;2015-01-28;2015-05-12 00:00:00.000;2015-05-13 06:15:00.000;SEK;1393.00;;;CC;2015-01-28 19:13:49.337;CC Credit Card in Call Centre;TBRS;MEVO;ECONOMY;2015-05-12 00:00:00.000;2015-05-12;104;2245;;2;;;;MBK;Motorcycle/trike (incl. trl);4O;4-berth outside cabin;1;;;;;;;;;noReturnTrip;;;;;;;;;;;;;;;33223;23431;Lomma;SWE;0;;
70001333;1;CONFIRMED;PIB;PIB;;;;0;bokanu;2014-09-29 18:40:11.000;2014-09-29;2014-10-31 00:00:00.000;2014-10-31 12:30:00.000;SEK;324.50;;;IB;2014-09-29 18:42:53.543;IB INTERNET BANK PAYMENT;TBSA;SASS;ECONOMY;2014-10-31 00:00:00.000;2014-10-31;32;815;;3;;;;CAR600200;Car, MPV, 4x4 up to 1.8m high;;;;;;;;;;;;noReturnTrip;;;;;;;;;;;;;;;53780;38333;Mönsterås;SWE;1;;
70001358;1;CONFIRMED;PIB;PIB;;;;1;;2015-01-12 20:35:40.000;2015-01-12;2015-01-24 00:00:00.000;2015-01-24 15:15:00.000;SEK;67.00;;;CP;2015-01-12 20:37:11.697;CP Compass Points;GOFR;JUTL;DAGX50;2015-01-24 00:00:00.000;2015-01-24;12;800;;1;;;;;;;;;;;;FRGO;JUTL;DAGX50;2015-01-24 00:00:00.000;2015-01-24;0;1150;;1;;;;;;;;;;;;87606;41460;Göteborg;FIN;1;STSWB;2014-10-21 00:00:00.000
