CODE;VERSION;STATUS_CODE;ORIG_SALES_CHANNEL_CODE;CURR_SALES_CHANNEL_CODE;TRAVEL_AGENT_CODE;TRAVEL_AGENT_NAME;AGENT_CONTACT;LOYALTY_MEMBER_STATED;OFFER_CODE;DATE_CREATED;date;FIRST_EVENT;LAST_EVENT;CURRENCY_CODE;TOTAL_PRICE;SUB_SALES_CHANNEL_CODE;OLP_ID;PAYMENT_METHOD_CODE;PAYMENT_DATE;PAYMENT_DESCRIPTION;OUT_ROUTE_CODE;OUT_FERRY_CODE;OUT_PRODUCT_CODE;OUT_DEPARTURE_DATE;dptdate;daysahead;OUT_DEPARTURE_TIME;OUT_NO_OF_INFANT;OUT_NO_OF_ADULT;OUT_NO_OF_STUDENT;OUT_NO_OF_SENIOR;OUT_NO_OF_CHILD;OUT_VEHICLE_CATEGORY;OUT_VEHICLE_CATEGORY_DESC;OUT_CABIN_CODE;OUT_CABIN_DESCRIPTION;OUT_CABIN_NO_RESERVED;OUT_ROOM_CATEGORY_CODE;OUT_ROOM_CODE;OUT_ROOM_DESCRIPTION;HOME_ROUTE_CODE;HOME_FERRY_CODE;HOME_PRODUCT_CODE;HOME_DEPARTURE_DATE;returndate;cleandate;HOME_DEPARTURE_TIME;HOME_NO_OF_INFANT;HOME_NO_OF_ADULT;HOME_NO_OF_STUDENT;HOME_NO_OF_SENIOR;HOME_NO_OF_CHILD;HOME_VEHICLE_CATEGORY;HOME_VEHICLE_CATEGORY_DESC;HOME_CABIN_CODE;HOME_CABIN_DESCRIPTION;HOME_CABIN_NO_RESERVED;HOME_ROOM_CATEGORY_CODE;HOME_ROOM_CODE;HOME_ROOM_DESCRIPTION;CUSTOMER_ID;POSTCODE;TOWN;COUNTRY_CODE;HAS_STORED_PROFILE;LOYALTY_TYPE;LOYALTY_JOINED_DATE
70000510;1;CONFIRMED;PIB;PIB;;;;0;;2015-07-20 09:20:50.000;2015-07-20;2015-07-27 00:00:00.000;2015-07-27 12:20:00.000;SEK;1387.00;;;IB;2015-07-20 09:24:36.757;IB INTERNET BANK PAYMENT;VAGR;NAUT;ECONOMY;2015-07-27 00:00:00.000;2015-07-27;7;805;;2;;;;CAR600200;Car, MPV, 4x4 up to 1.8m high;;;;LOUNGESEAT;NA60PLUS;Plus Lounge;;;;;;noReturnTrip;;;;;;;;;;;;;;;81574;17568;Järfälla;SWE;0;;
70000579;1;CONFIRMED;PIB;PIB;;;;0;;2015-05-28 13:03:28.000;2015-05-28;2015-05-28 00:00:00.000;2015-05-28 23:50:00.000;SEK;198.00;;;CC;2015-05-28 13:15:33.617;CC Credit Card in Call Centre;GOFR;JUTL;DAGXFOT;2015-05-28 00:00:00.000;2015-05-28;0;1600;;2;;;;;;;;;;;;FRGO;JUTL;DAGXFOT;2015-05-28 00:00:00.000;2015-05-28;0;2015;;2;;;;;;;;;;;;7330;42435;Angered;SWE;1;;
70000597;1;CONFIRMED;PIB;PIB;;;;0;;2014-06-20 10:58:03.000;2014-06-20;2014-06-23 00:00:00.000;2014-06-23 19:30:00.000;SEK;1917.00;;;CC;2014-06-20 11:02:05.587;CC Credit Card in Call Centre;FRGO;JUTL;ECONOMY;2014-06-23 00:00:00.000;2014-06-23;3;1605;;2;;;2;MOH1000400;Motorhome/Minibus to 10m long;;;;;;;;;;;;noReturnTrip;;;;;;;;;;;;;;;155426;82130;Bollnäs;SWE;1;;
70000609;1;CONFIRMED;PIB;PIB;;;;0;;2015-03-12 20:32:09.000;2015-03-12;2015-03-14 00:00:00.000;2015-03-14 23:50:00.000;SEK;99.00;;;CC;2015-03-12 20:35:56.353;CC Credit Card in Call Centre;GOFR;JUTL;DAGXFOT;2015-03-14 00:00:00.000;2015-03-14;2;1600;;1;;;;;;;;;;;;FRGO;JUTL;DAGXFOT;2015-03-14 00:00:00.000;2015-03-14;0;2015;;1;;;;;;;;;;;;86590;42931;Kullavik;SWE;1;;
70000680;1;CONFIRMED;PIB;PIB;;;;1;;2014-11-03 18:56:44.000;2014-11-03;2014-11-20 00:00:00.000;2014-11-23 15:15:00.000;SEK;1812.00;;;CC;2014-11-03 18:58:17.500;CC Credit Card in Call Centre;GOFR;JUTL;ECONOMY;2014-11-20 00:00:00.000;2014-11-20;17;1600;;2;;;3;CAR600200;Car, MPV, 4x4 up to 1.8m high;;;;;;;FRGO;JUTL;ECONOMY;2014-11-23 00:00:00.000;2014-11-23;3;1150;;2;;;3;CAR600200;Car, MPV, 4x4 up to 1.8m high;;;;;;;179342;72591;Västerås;SWE;1;STSWB;2012-12-09 00:00:00.000
70000690;1;CONFIRMED;PIB;PIB;;;;1;;2015-02-19 20:17:11.000;2015-02-19;2015-07-11 00:00:00.000;2015-08-16 20:00:00.000;SEK;6236.00;;;IB;2015-02-19 20:20:18.010;IB INTERNET BANK PAYMENT;KAGD;SPIR;ECONOMY;2015-07-11 00:00:00.000;2015-07-11;142;900;;6;;;2;CAR600200;Car, MPV, 4x4 up to 1.8m high;;;;;;;GDKA;KARL;ECONOMY;2015-08-16 00:00:00.000;2015-08-16;36;900;;5;;;1;CAR600200;Car, MPV, 4x4 up to 1.8m high;;;;;;;5901;126 31;Stockholm;SWE;1;STSWB;2015-02-19 00:00:00.000
70000759;1;CONFIRMED;PIB;PIB;;;;0;;2014-12-05 17:52:41.000;2014-12-05;2014-12-10 00:00:00.000;2014-12-10 17:25:00.000;SEK;99.00;;;CC;2014-12-05 18:00:35.337;CC Credit Card in Call Centre;GOFR;DANI;DAGXFOT;2014-12-10 00:00:00.000;2014-12-10;5;915;;1;;;;;;;;;;;;FRGO;DANI;DAGXFOT;2014-12-10 00:00:00.000;2014-12-10;0;1400;;1;;;;;;;;;;;;56623;43084;Styrsö;SWE;1;;
70000810;1;CONFIRMED;SWS;SWS;STSW99659;STENA LINE TRAVEL GROUP AB;Sembo;0;ICADK;2015-07-29 21:30:51.000;2015-07-29;2015-08-04 00:00:00.000;2015-08-07 15:15:00.000;SEK;1475.80;SEMBO;;;;;GOFR;DANI;HECONOMY;2015-08-04 00:00:00.000;2015-08-04;6;1600;;2;;;;CAR600200;Car, MPV, 4x4 up to 1.8m high;;;;;;;FRGO;DANI;HECONOMY;2015-08-07 00:00:00.000;2015-08-07;3;1150;;2;;;;CAR600200;Car, MPV, 4x4 up to 1.8m high;;;;;;;60189;39352;Kalmar;SWE;0;;
70000836;3;CONFIRMED;SWS;CCD;STSW01245 ;STENA LINE TRAVEL GROUP AB;Sembo;1;;2014-10-29 14:32:50.000;2014-10-29;2014-10-29 00:00:00.000;2014-11-01 09:15:00.000;SEK;3773.00;SEMBO;;IV;2014-10-30 01:12:54.140;IV Invoice;GOKI;GERM;HECONOMY;2014-10-29 00:00:00.000;2014-10-29;0;1845;;2;;;;CAR600200;Car, MPV, 4x4 up to 1.8m high;2IBUNK;2-berth inside cabin, bunk bed;1;;;;KIGO;SCAN;HECONOMY;2014-10-31 00:00:00.000;2014-10-31;2;1845;;2;;;;CAR600200;Car, MPV, 4x4 up to 1.8m high;4I;4-berth inside cabin;1;;;;178128;54232;Mariestad;SWE;1;STSWB;2004-09-27 00:00:00.000
70000838;4;CONFIRMED;SWS;CCD;STSW01245 ;STENA LINE TRAVEL GROUP AB;Sembo;0;;2014-06-17 15:12:07.000;2014-06-17;2014-07-20 00:00:00.000;2014-07-25 11:15:00.000;SEK;2551.00;SEMBO;;IV;2014-07-21 01:13:21.410;IV Invoice;GOFR;DANI;HECONOMY;2014-07-20 00:00:00.000;2014-07-20;33;800;;4;;;;CAR600200;Car, MPV, 4x4 up to 1.8m high;;;;;;;FRGO;JUTL;HECONOMY;2014-07-25 00:00:00.000;2014-07-25;5;800;;4;;;;CAR600200;Car, MPV, 4x4 up to 1.8m high;;;;;;;107187;51821;Sandared;SWE;1;;
