VisitorCookieID;2015-12-21;2015-12-22;2015-12-23;2015-12-24;2015-12-25;2015-12-26;2015-12-27;2015-12-28;2015-12-29;2015-12-30;2015-12-31;2016-01-01;2016-01-02;2016-01-03;2016-01-04;2016-01-05;2016-01-06;2016-01-07;2016-01-08;2016-01-09;2016-01-10;2016-01-11;2016-01-12;2016-01-13;2016-01-14;2016-01-15;2016-01-16;2016-01-17;2016-01-18;2016-01-19;2016-01-20;2016-01-21;2016-01-22;2016-01-23;2016-01-24;2016-01-25;2016-01-26;2016-01-27;2016-01-28;2016-01-29;2016-01-30
1124570495;;1;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;
1128543001;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;
1129375775;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;
1129735686;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
1134688100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;1;;;;;;
1137472098;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;
1140101343;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;
1145547129;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;1;;;
1145774243;;;;;;;;;;;;;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;
1146208274;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
1151719378;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;
1153053312;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;
1155629260;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;
1155961275;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
1156452090;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
1156752653;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;
1157645788;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
1159190071;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;
1159964600;;1;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;
1163594889;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;
1163854200;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;
1163863528;;1;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;
1165290737;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
1167070116;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
1168364677;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
1173194325;1;;;;;;;;1;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;
1178464396;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;
1179514272;;;;;;;;1;;;;;;1;;;;;;;;;;;;;;;;;;;1;;;;;;;;
1181815510;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;
1182351935;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
1184895492;;;;;;;;;;;;;;;1;;;;;;;1;;;;;;;;;;;;;;;;;;;
1184970072;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;
1186363964;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;
1190269501;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;
1191741470;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;
1191801405;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;
1196326175;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
1196972238;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
1197189628;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
119829446;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
120016880;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;
1200894744;;;;1;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
1202346430;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;
1205382110;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;
1206333857;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;1;;;;;;;;;;
1206622578;;;;;;;;;;;;;;;;;1;1;1;;;;;;;;;;;;;;;;;;;;;;
1212045451;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
1214315692;1;1;1;1;;;1;;;;;;;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;
1216178887;;;;;;;;;3;1;;;;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;
121970997;;;;;;;;;;;;;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;;
122251033;;;;;;;;;;;;;;1;;1;;1;;;;1;;;;;;;;;;;;;;;;;;;
1223531670;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;
1223708859;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
